country,year,hourly_compensation_costs
arg,1996,7.429999828338623
arg,1997,7.550000190734863
arg,1998,8.010000228881836
arg,1999,8.079999923706055
arg,2000,8.15999984741211
arg,2001,8.270000457763672
arg,2002,3.009999990463257
arg,2003,3.6500000953674316
arg,2004,4.510000228881836
arg,2005,5.510000228881836
arg,2006,6.630000114440918
arg,2007,8.039999961853027
arg,2008,10.039999961853027
arg,2009,10.229999542236328
arg,2010,12.770000457763672
arg,2011,15.989999771118164
arg,2012,18.959999084472656
arg,2013,19.969999313354492
aus,1996,19.170000076293945
aus,1997,18.889999389648438
aus,1998,17.1299991607666
aus,1999,18.1299991607666
aus,2000,16.399999618530273
aus,2001,15.029999732971191
aus,2002,17.40999984741211
aus,2003,22.520000457763672
aus,2004,26.719999313354492
aus,2005,28.59000015258789
aus,2006,29.149999618530273
aus,2007,33.279998779296875
aus,2008,35.279998779296875
aus,2009,32.880001068115234
aus,2010,39.560001373291016
aus,2011,46.400001525878906
aus,2012,47.720001220703125
aus,2013,47.09000015258789
aut,1996,28.1299991607666
aut,1997,24.90999984741211
aut,1998,25.200000762939453
aut,1999,24.860000610351562
aut,2000,21.920000076293945
aut,2001,21.690000534057617
aut,2002,23.280000686645508
aut,2003,28.290000915527344
aut,2004,31.1200008392334
aut,2005,32.34000015258789
aut,2006,33.59000015258789
aut,2007,38.060001373291016
aut,2008,42.630001068115234
aut,2009,42.59000015258789
aut,2010,40.119998931884766
aut,2011,43.41999816894531
aut,2012,41.900001525878906
aut,2013,44.369998931884766
bel,1996,32.720001220703125
bel,1997,28.950000762939453
bel,1998,29.309999465942383
bel,1999,28.75
bel,2000,26.079999923706055
bel,2001,25.770000457763672
bel,2002,27.6299991607666
bel,2003,34.90999984741211
bel,2004,39.880001068115234
bel,2005,40.959999084472656
bel,2006,42.43000030517578
bel,2007,47.380001068115234
bel,2008,53.599998474121094
bel,2009,52.11000061035156
bel,2010,50.65999984741211
bel,2011,55.08000183105469
bel,2012,52.16999816894531
bel,2013,54.880001068115234
bra,1996,7.070000171661377
bra,1997,7.03000020980835
bra,1998,6.710000038146973
bra,1999,4.210000038146973
bra,2000,4.340000152587891
bra,2001,3.630000114440918
bra,2002,3.0799999237060547
bra,2003,3.2200000286102295
bra,2004,3.819999933242798
bra,2005,5.010000228881836
bra,2006,5.989999771118164
bra,2007,7.099999904632568
bra,2008,8.4399995803833
bra,2009,8.119999885559082
bra,2010,10.0
bra,2011,11.630000114440918
bra,2012,10.84000015258789
bra,2013,10.6899995803833
can,1996,18.6299991607666
can,1997,18.489999771118164
can,1998,17.729999542236328
can,1999,17.850000381469727
can,2000,18.34000015258789
can,2001,17.809999465942383
can,2002,18.059999465942383
can,2003,21.079999923706055
can,2004,23.68000030517578
can,2005,26.260000228881836
can,2006,28.56999969482422
can,2007,31.25
can,2008,32.029998779296875
can,2009,29.350000381469727
can,2010,34.349998474121094
can,2011,36.290000915527344
can,2012,36.58000183105469
can,2013,36.33000183105469
cze,1996,3.380000114440918
cze,1997,3.25
cze,1998,3.549999952316284
cze,1999,3.5
cze,2000,3.4000000953674316
cze,2001,3.75
cze,2002,4.610000133514404
