country,year,hourly_social_insurance_expenditures_and_labour_related_taxes
arg,1996,1.4800000190734863
arg,1997,1.4199999570846558
arg,1998,1.4900000095367432
arg,1999,1.409999966621399
arg,2000,1.3799999952316284
arg,2001,1.350000023841858
arg,2002,0.5199999809265137
arg,2003,0.6399999856948853
arg,2004,0.7900000214576721
arg,2005,0.9599999785423279
arg,2006,1.159999966621399
arg,2007,1.399999976158142
arg,2008,1.75
arg,2009,1.7799999713897705
arg,2010,2.2200000286102295
arg,2011,2.7899999618530273
arg,2012,3.299999952316284
arg,2013,3.4800000190734863
aus,1996,3.4000000953674316
aus,1997,3.4600000381469727
aus,1998,3.1700000762939453
aus,1999,3.4200000762939453
aus,2000,3.069999933242798
aus,2001,2.9200000762939453
aus,2002,3.5999999046325684
aus,2003,4.760000228881836
aus,2004,5.730000019073486
aus,2005,6.090000152587891
aus,2006,6.070000171661377
aus,2007,6.840000152587891
aus,2008,7.260000228881836
aus,2009,6.670000076293945
aus,2010,7.900000095367432
aus,2011,9.170000076293945
aus,2012,9.449999809265137
aus,2013,9.369999885559082
aut,1996,7.599999904632568
aut,1997,6.730000019073486
aut,1998,6.820000171661377
aut,1999,6.730000019073486
aut,2000,5.900000095367432
aut,2001,5.630000114440918
aut,2002,5.989999771118164
aut,2003,7.199999809265137
aut,2004,7.829999923706055
aut,2005,8.15999984741211
aut,2006,8.520000457763672
aut,2007,9.699999809265137
aut,2008,10.930000305175781
aut,2009,10.970000267028809
aut,2010,10.369999885559082
aut,2011,11.270000457763672
aut,2012,10.90999984741211
aut,2013,11.550000190734863
bel,1996,10.130000114440918
bel,1997,8.970000267028809
bel,1998,9.100000381469727
bel,1999,8.90999984741211
bel,2000,8.470000267028809
bel,2001,7.940000057220459
bel,2002,8.479999542236328
bel,2003,10.630000114440918
bel,2004,12.109999656677246
bel,2005,12.619999885559082
bel,2006,13.270000457763672
bel,2007,15.0
bel,2008,17.219999313354492
bel,2009,16.719999313354492
bel,2010,16.299999237060547
bel,2011,17.739999771118164
bel,2012,16.780000686645508
bel,2013,17.65999984741211
bra,1996,2.4000000953674316
bra,1997,2.359999895095825
bra,1998,2.2799999713897705
bra,1999,1.3799999952316284
bra,2000,1.409999966621399
bra,2001,1.1799999475479126
bra,2002,1.0
bra,2003,1.059999942779541
bra,2004,1.2200000286102295
bra,2005,1.6399999856948853
bra,2006,1.940000057220459
bra,2007,2.2799999713897705
bra,2008,2.740000009536743
bra,2009,2.609999895095825
bra,2010,3.200000047683716
bra,2011,3.819999933242798
bra,2012,3.4600000381469727
bra,2013,3.4100000858306885
can,1996,2.9100000858306885
can,1997,2.8499999046325684
can,1998,2.630000114440918
