country,year,index_of_hourly_compensation_costs_us_100
arg,1996,33
arg,1997,33
arg,1998,34
arg,1999,34
arg,2000,33
arg,2001,32
arg,2002,11
arg,2003,13
arg,2004,15
arg,2005,18
arg,2006,22
arg,2007,25
arg,2008,31
arg,2009,30
arg,2010,37
arg,2011,45
arg,2012,53
arg,2013,55
aus,1996,85
aus,1997,82
aus,1998,73
aus,1999,76
aus,2000,66
aus,2001,57
aus,2002,64
aus,2003,79
aus,2004,91
aus,2005,95
aus,2006,96
aus,2007,104
aus,2008,108
aus,2009,96
aus,2010,114
aus,2011,131
aus,2012,134
aus,2013,130
aut,1996,125
aut,1997,108
aut,1998,107
aut,1999,104
aut,2000,88
aut,2001,83
aut,2002,85
aut,2003,99
aut,2004,106
aut,2005,107
aut,2006,110
aut,2007,119
aut,2008,130
aut,2009,125
aut,2010,115
aut,2011,122
aut,2012,118
aut,2013,122
bel,1996,146
bel,1997,126
bel,1998,125
bel,1999,120
bel,2000,105
bel,2001,98
bel,2002,101
bel,2003,122
bel,2004,136
bel,2005,136
bel,2006,139
bel,2007,148
bel,2008,164
bel,2009,152
bel,2010,146
bel,2011,155
bel,2012,146
bel,2013,151
bra,1996,31
bra,1997,31
bra,1998,29
bra,1999,18
bra,2000,17
bra,2001,14
bra,2002,11
bra,2003,11
bra,2004,13
bra,2005,17
bra,2006,20
bra,2007,22
bra,2008,26
bra,2009,24
bra,2010,29
bra,2011,33
bra,2012,30
bra,2013,29
can,1996,83
can,1997,80
can,1998,75
can,1999,74
can,2000,73
can,2001,68
can,2002,66
can,2003,74
can,2004,81
can,2005,87
can,2006,94
can,2007,97
can,2008,98
can,2009,86
can,2010,99
can,2011,102
can,2012,103
can,2013,100
cze,1996,15
cze,1997,14
cze,1998,15
cze,1999,15
cze,2000,14
cze,2001,14
cze,2002,17
cze,2003,20
cze,2004,22
cze,2005,24
cze,2006,27
cze,2007,31
cze,2008,37
cze,2009,33
cze,2010,33
cze,2011,36
cze,2012,33
cze,2013,33
dnk,1997,103
dnk,1998,103
dnk,1999,104
dnk,2000,89
dnk,2001,88
dnk,2002,93
dnk,2003,111
dnk,2004,122
dnk,2005,123
dnk,2006,125
dnk,2007,138
dnk,2008,151
dnk,2009,144
dnk,2010,140
dnk,2011,148
dnk,2012,138
dnk,2013,141
est,2000,10
est,2001,10
est,2002,11
est,2003,14
est,2004,17
est,2005,18
est,2006,22
est,2007,27
est,2008,32
est,2009,29
est,2010,27
est,2011,29
est,2012,29
est,2013,32
fin,1996,111
fin,1997,97
fin,1998,93
fin,1999,92
fin,2000,79
fin,2001,78
fin,2002,82
fin,2003,98
fin,2004,111
fin,2005,111
fin,2006,115
fin,2007,122
fin,2008,133
fin,2009,128
fin,2010,116
fin,2011,124
fin,2012,118
fin,2013,123
fra,1996,124
fra,1997,108
fra,1998,106
fra,1999,101
fra,2000,85
fra,2001,81
fra,2002,84
fra,2003,99
fra,2004,110
fra,2005,108
fra,2006,111
fra,2007,118
fra,2008,127
fra,2009,116
fra,2010,112
fra,2011,120
fra,2012,114
fra,2013,118
deu,1996,148
deu,1997,127
deu,1998,123
deu,1999,116
deu,2000,102
deu,2001,96
deu,2002,100
deu,2003,119
deu,2004,129
deu,2005,127
deu,2006,129
deu,2007,136
deu,2008,144
deu,2009,134
deu,2010,127
deu,2011,134
deu,2012,129
deu,2013,135
grc,1996,56
grc,1997,50
grc,1998,48
grc,1999,47
grc,2000,40
grc,2001,34
grc,2002,41
grc,2003,48
grc,2004,54
grc,2005,51
grc,2006,54
grc,2007,61
grc,2008,70
grc,2009,66
grc,2010,64
grc,2011,64
grc,2012,54
grc,2013,52
hun,1996,14
hun,1997,13
hun,1998,13
hun,1999,13
hun,2000,12
hun,2001,13
hun,2002,15
hun,2003,18
hun,2004,21
hun,2005,22
hun,2006,22
hun,2007,27
hun,2008,30
hun,2009,25
hun,2010,24
hun,2011,26
hun,2012,25
hun,2013,26
irl,1996,79
irl,1997,76
irl,1998,74
irl,1999,73
irl,2000,66
irl,2001,68
irl,2002,72
irl,2003,86
irl,2004,97
irl,2005,99
irl,2006,104
irl,2007,114
irl,2008,128
irl,2009,123
irl,2010,117
irl,2011,120
irl,2012,114
irl,2013,116
isr,1996,49
isr,1997,50
isr,1998,50
isr,1999,47
isr,2000,49
isr,2001,50
isr,2002,43
isr,2003,44
isr,2004,44
isr,2005,44
isr,2006,45
isr,2007,49
isr,2008,57
isr,2009,51
isr,2010,55
isr,2011,60
isr,2012,57
isr,2013,61
ita,1996,93
ita,1997,86
ita,1998,82
ita,1999,78
ita,2000,67
ita,2001,64
ita,2002,68
ita,2003,82
ita,2004,92
ita,2005,92
ita,2006,93
ita,2007,99
ita,2008,107
ita,2009,100
ita,2010,97
ita,2011,103
ita,2012,97
ita,2013,102
jpn,1996,105
jpn,1997,96
jpn,1998,88
jpn,1999,98
jpn,2000,100
jpn,2001,86
jpn,2002,78
jpn,2003,82
jpn,2004,86
jpn,2005,84
jpn,2006,79
jpn,2007,74
jpn,2008,84
