country,year,total_hourly_direct_pay_as_percentage_of_total_hourly_compensation_costs
arg,1996,80.0999984741211
arg,1997,81.19999694824219
arg,1998,81.30000305175781
arg,1999,82.5
arg,2000,83.0999984741211
arg,2001,83.5999984741211
arg,2002,82.5999984741211
arg,2003,82.5999984741211
arg,2004,82.5999984741211
arg,2005,82.5999984741211
arg,2006,82.5999984741211
arg,2007,82.5999984741211
arg,2008,82.5999984741211
arg,2009,82.5999984741211
arg,2010,82.5999984741211
arg,2011,82.5999984741211
arg,2012,82.5999984741211
arg,2013,82.5999984741211
aus,1996,82.30000305175781
aus,1997,81.69999694824219
aus,1998,81.5
aus,1999,81.0999984741211
aus,2000,81.30000305175781
aus,2001,80.5999984741211
aus,2002,79.30000305175781
aus,2003,78.9000015258789
aus,2004,78.5999984741211
aus,2005,78.69999694824219
aus,2006,79.19999694824219
aus,2007,79.4000015258789
aus,2008,79.4000015258789
aus,2009,79.69999694824219
aus,2010,80.0
aus,2011,80.19999694824219
aus,2012,80.19999694824219
aus,2013,80.0999984741211
aut,1996,73.0
aut,1997,73.0
aut,1998,72.9000015258789
aut,1999,72.9000015258789
aut,2000,73.0999984741211
aut,2001,74.0
aut,2002,74.30000305175781
aut,2003,74.5999984741211
aut,2004,74.9000015258789
aut,2005,74.80000305175781
aut,2006,74.5999984741211
aut,2007,74.5
aut,2008,74.4000015258789
aut,2009,74.30000305175781
aut,2010,74.19999694824219
aut,2011,74.0999984741211
aut,2012,74.0
aut,2013,74.0
bel,1996,69.0
bel,1997,69.0
bel,1998,68.9000015258789
bel,1999,69.0
bel,2000,67.5
bel,2001,69.19999694824219
bel,2002,69.30000305175781
bel,2003,69.5
bel,2004,69.5999984741211
bel,2005,69.19999694824219
bel,2006,68.69999694824219
bel,2007,68.30000305175781
bel,2008,67.9000015258789
bel,2009,67.9000015258789
bel,2010,67.80000305175781
bel,2011,67.80000305175781
bel,2012,67.80000305175781
bel,2013,67.80000305175781
bra,1996,66.0999984741211
bra,1997,66.5
bra,1998,66.0999984741211
bra,1999,67.30000305175781
bra,2000,67.5
bra,2001,67.30000305175781
bra,2002,67.5999984741211
bra,2003,67.19999694824219
bra,2004,68.0
bra,2005,67.19999694824219
bra,2006,67.69999694824219
bra,2007,67.9000015258789
bra,2008,67.5999984741211
bra,2009,67.9000015258789
bra,2010,68.0
bra,2011,67.19999694824219
bra,2012,68.0999984741211
bra,2013,68.0999984741211
can,1996,84.4000015258789
can,1997,84.5999984741211
can,1998,85.19999694824219
can,1999,85.30000305175781
can,2000,85.5
can,2001,84.69999694824219
can,2002,83.30000305175781
can,2003,82.5
can,2004,81.9000015258789
can,2005,81.5999984741211
can,2006,80.80000305175781
can,2007,81.19999694824219
can,2008,80.80000305175781
can,2009,80.0
can,2010,80.0
can,2011,80.0
can,2012,80.0999984741211
can,2013,80.0
cze,1996,73.9000015258789
cze,1997,73.80000305175781
cze,1998,73.69999694824219
cze,1999,73.5999984741211
cze,2000,72.9000015258789
cze,2001,72.9000015258789
cze,2002,72.69999694824219
cze,2003,72.5999984741211
cze,2004,72.4000015258789
cze,2005,73.4000015258789
cze,2006,73.30000305175781
cze,2007,73.30000305175781
cze,2008,73.4000015258789
cze,2009,72.69999694824219
cze,2010,73.0
cze,2011,73.4000015258789
cze,2012,73.4000015258789
cze,2013,73.4000015258789
dnk,1997,96.80000305175781
dnk,1998,96.80000305175781
dnk,1999,94.4000015258789
dnk,2000,94.69999694824219
dnk,2001,92.9000015258789
dnk,2002,91.5
dnk,2003,90.69999694824219
dnk,2004,90.30000305175781
dnk,2005,89.5
dnk,2006,90.0
dnk,2007,89.5999984741211
dnk,2008,89.80000305175781
dnk,2009,89.5999984741211
dnk,2010,89.4000015258789
dnk,2011,89.30000305175781
dnk,2012,89.0999984741211
dnk,2013,89.0999984741211
est,2000,74.4000015258789
est,2001,74.4000015258789
est,2002,74.4000015258789
est,2003,74.30000305175781
est,2004,74.30000305175781
est,2005,74.19999694824219
est,2006,74.19999694824219
est,2007,74.0999984741211
est,2008,74.0
est,2009,74.0
est,2010,74.0
est,2011,74.0
est,2012,74.0
est,2013,74.0
fin,1996,76.80000305175781
fin,1997,77.4000015258789
fin,1998,80.0999984741211
fin,1999,78.5
fin,2000,79.0999984741211
fin,2001,79.0
fin,2002,78.4000015258789
fin,2003,78.80000305175781
fin,2004,78.69999694824219
fin,2005,78.5999984741211
fin,2006,78.19999694824219
fin,2007,78.19999694824219
fin,2008,77.69999694824219
fin,2009,78.5
fin,2010,79.9000015258789
fin,2011,79.5
fin,2012,79.5999984741211
fin,2013,79.5999984741211
fra,1996,69.80000305175781
fra,1997,69.69999694824219
fra,1998,69.5999984741211
fra,1999,69.5
fra,2000,69.4000015258789
fra,2001,69.19999694824219
fra,2002,69.0
fra,2003,68.80000305175781
fra,2004,68.5999984741211
fra,2005,69.0
fra,2006,69.4000015258789
fra,2007,69.69999694824219
fra,2008,70.0999984741211
fra,2009,70.0
fra,2010,69.9000015258789
fra,2011,69.69999694824219
fra,2012,69.5999984741211
fra,2013,69.5999984741211
deu,1996,76.4000015258789
deu,1997,76.5999984741211
deu,1998,76.9000015258789
deu,1999,76.80000305175781
deu,2000,77.19999694824219
deu,2001,77.5999984741211
deu,2002,77.5999984741211
deu,2003,77.19999694824219
deu,2004,76.9000015258789
deu,2005,77.30000305175781
deu,2006,77.0999984741211
deu,2007,77.9000015258789
deu,2008,78.5999984741211
deu,2009,78.0
deu,2010,77.4000015258789
deu,2011,78.0
deu,2012,78.5999984741211
deu,2013,78.30000305175781
grc,1996,76.5999984741211
grc,1997,76.80000305175781
grc,1998,76.9000015258789
grc,1999,77.0999984741211
grc,2000,77.30000305175781
grc,2001,77.5
grc,2002,77.80000305175781
grc,2003,78.0
grc,2004,78.30000305175781
grc,2005,77.9000015258789
grc,2006,77.5999984741211
grc,2007,77.19999694824219
grc,2008,76.9000015258789
grc,2009,76.9000015258789
grc,2010,76.9000015258789
grc,2011,76.9000015258789
grc,2012,76.9000015258789
grc,2013,76.9000015258789
hun,1996,66.0999984741211
hun,1997,66.9000015258789
hun,1998,67.80000305175781
hun,1999,68.5999984741211
hun,2000,69.5
hun,2001,70.0999984741211
hun,2002,70.69999694824219
hun,2003,71.30000305175781
hun,2004,71.9000015258789
hun,2005,72.0999984741211
hun,2006,73.19999694824219
hun,2007,73.0999984741211
hun,2008,73.0999984741211
hun,2009,74.0999984741211
hun,2010,76.0999984741211
hun,2011,76.5999984741211
hun,2012,78.0
hun,2013,76.0999984741211
irl,1996,86.69999694824219
irl,1997,87.0999984741211
irl,1998,87.30000305175781
irl,1999,87.5
irl,2000,87.69999694824219
irl,2001,87.0999984741211
irl,2002,87.30000305175781
irl,2003,86.69999694824219
irl,2004,86.19999694824219
irl,2005,85.69999694824219
irl,2006,85.19999694824219
irl,2007,84.69999694824219
irl,2008,84.19999694824219
irl,2009,84.0
irl,2010,83.80000305175781
irl,2011,83.5999984741211
irl,2012,83.30000305175781
irl,2013,83.30000305175781
isr,1996,85.4000015258789
isr,1997,85.19999694824219
isr,1998,85.0
isr,1999,85.69999694824219
isr,2000,85.5
isr,2001,85.5999984741211
isr,2002,84.80000305175781
isr,2003,85.0
