country,year,total_hourly_directly_paid_benefits
arg,1996,0.9200000166893005
arg,1997,0.9399999976158142
arg,1998,1.0199999809265137
arg,1999,1.0800000429153442
arg,2000,1.0800000429153442
arg,2001,1.100000023841858
arg,2002,0.41999998688697815
arg,2003,0.5099999904632568
arg,2004,0.6299999952316284
arg,2005,0.7699999809265137
arg,2006,0.9300000071525574
arg,2007,1.1200000047683716
arg,2008,1.399999976158142
arg,2009,1.4299999475479126
arg,2010,1.7899999618530273
arg,2011,2.240000009536743
arg,2012,2.6500000953674316
arg,2013,2.7899999618530273
aus,1996,1.8799999952316284
aus,1997,1.840000033378601
aus,1998,1.659999966621399
aus,1999,1.75
aus,2000,1.590000033378601
aus,2001,1.440000057220459
aus,2002,1.6399999856948853
aus,2003,2.109999895095825
aus,2004,2.5
aus,2005,2.680000066757202
aus,2006,2.75
aus,2007,3.140000104904175
aus,2008,3.3299999237060547
aus,2009,3.119999885559082
aus,2010,3.759999990463257
aus,2011,4.429999828338623
aus,2012,4.550000190734863
aus,2013,4.489999771118164
aut,1996,5.880000114440918
aut,1997,5.179999828338623
aut,1998,5.21999979019165
aut,1999,5.130000114440918
aut,2000,4.519999980926514
aut,2001,4.53000020980835
aut,2002,4.880000114440918
aut,2003,5.949999809265137
aut,2004,6.579999923706055
aut,2005,6.860000133514404
aut,2006,7.159999847412109
aut,2007,8.140000343322754
aut,2008,9.149999618530273
aut,2009,9.140000343322754
aut,2010,8.609999656677246
aut,2011,9.3100004196167
aut,2012,8.989999771118164
aut,2013,9.510000228881836
bel,1996,6.489999771118164
bel,1997,5.739999771118164
bel,1998,5.800000190734863
bel,1999,5.699999809265137
bel,2000,5.059999942779541
bel,2001,5.119999885559082
bel,2002,5.5
bel,2003,6.96999979019165
bel,2004,7.980000019073486
bel,2005,8.210000038146973
bel,2006,8.529999732971191
bel,2007,9.550000190734863
bel,2008,10.829999923706055
bel,2009,10.539999961853027
bel,2010,10.229999542236328
bel,2011,11.109999656677246
bel,2012,10.529999732971191
bel,2013,11.079999923706055
bra,1996,0.9800000190734863
bra,1997,0.9800000190734863
bra,1998,0.9300000071525574
bra,1999,0.5899999737739563
bra,2000,0.6100000143051147
bra,2001,0.5099999904632568
bra,2002,0.4399999976158142
bra,2003,0.44999998807907104
bra,2004,0.5400000214576721
bra,2005,0.7099999785423279
bra,2006,0.8500000238418579
bra,2007,1.0099999904632568
bra,2008,1.190000057220459
bra,2009,1.149999976158142
bra,2010,1.4199999570846558
bra,2011,1.6399999856948853
bra,2012,1.5499999523162842
bra,2013,1.5299999713897705
can,1996,1.940000057220459
can,1997,1.9299999475479126
can,1998,1.8700000047683716
can,1999,1.8799999952316284
can,2000,1.940000057220459
can,2001,1.8600000143051147
can,2002,1.8600000143051147
can,2003,2.1500000953674316
can,2004,2.4000000953674316
can,2005,2.6500000953674316
can,2006,2.8499999046325684
can,2007,3.140000104904175
can,2008,3.200000047683716
can,2009,2.9000000953674316
can,2010,3.4000000953674316
can,2011,3.5899999141693115
can,2012,3.619999885559082
can,2013,3.5899999141693115
cze,1996,0.46000000834465027
cze,1997,0.4399999976158142
cze,1998,0.47999998927116394
cze,1999,0.4699999988079071
cze,2000,0.4399999976158142
cze,2001,0.5199999809265137
cze,2002,0.6100000143051147
cze,2003,0.75
cze,2004,0.8600000143051147
cze,2005,0.9599999785423279
cze,2006,1.059999942779541
cze,2007,1.2899999618530273
cze,2008,1.5800000429153442
cze,2009,1.5399999618530273
cze,2010,1.5
cze,2011,1.6399999856948853
cze,2012,1.5399999618530273
cze,2013,1.5800000429153442
dnk,1997,3.1600000858306885
dnk,1998,3.2200000286102295
dnk,1999,3.4200000762939453
dnk,2000,3.0399999618530273
dnk,2001,3.130000114440918
dnk,2002,3.4200000762939453
dnk,2003,4.25
dnk,2004,4.739999771118164
dnk,2005,5.0
dnk,2006,5.28000020980835
dnk,2007,6.199999809265137
dnk,2008,7.099999904632568
dnk,2009,7.130000114440918
dnk,2010,7.099999904632568
dnk,2011,7.75
dnk,2012,7.369999885559082
dnk,2013,7.630000114440918
est,2000,0.2199999988079071
est,2001,0.23000000417232513
est,2002,0.27000001072883606
