country,year,total_hourly_pay_for_time_worked
arg,1996,5.039999961853027
arg,1997,5.190000057220459
arg,1998,5.489999771118164
arg,1999,5.590000152587891
arg,2000,5.710000038146973
arg,2001,5.809999942779541
arg,2002,2.059999942779541
arg,2003,2.5
arg,2004,3.0899999141693115
arg,2005,3.7799999713897705
arg,2006,4.550000190734863
arg,2007,5.510000228881836
arg,2008,6.880000114440918
arg,2009,7.019999980926514
arg,2010,8.760000228881836
arg,2011,10.970000267028809
arg,2012,13.0
arg,2013,13.6899995803833
aus,1996,13.890000343322754
aus,1997,13.600000381469727
aus,1998,12.300000190734863
aus,1999,12.960000038146973
aus,2000,11.739999771118164
aus,2001,10.670000076293945
aus,2002,12.170000076293945
aus,2003,15.640000343322754
aus,2004,18.489999771118164
aus,2005,19.81999969482422
aus,2006,20.34000015258789
aus,2007,23.290000915527344
aus,2008,24.690000534057617
aus,2009,23.09000015258789
aus,2010,27.889999389648438
aus,2011,32.79999923706055
aus,2012,33.720001220703125
aus,2013,33.2400016784668
aut,1996,14.649999618530273
aut,1997,12.989999771118164
aut,1998,13.149999618530273
aut,1999,13.0
aut,2000,11.510000228881836
aut,2001,11.520000457763672
aut,2002,12.40999984741211
aut,2003,15.140000343322754
aut,2004,16.719999313354492
aut,2005,17.309999465942383
aut,2006,17.90999984741211
aut,2007,20.219999313354492
aut,2008,22.549999237060547
aut,2009,22.479999542236328
aut,2010,21.139999389648438
aut,2011,22.84000015258789
aut,2012,22.0
aut,2013,23.299999237060547
bel,1996,16.100000381469727
bel,1997,14.239999771118164
bel,1998,14.399999618530273
bel,1999,14.140000343322754
bel,2000,12.550000190734863
bel,2001,12.710000038146973
bel,2002,13.649999618530273
bel,2003,17.299999237060547
bel,2004,19.799999237060547
bel,2005,20.1299991607666
bel,2006,20.6299991607666
bel,2007,22.81999969482422
bel,2008,25.549999237060547
bel,2009,24.850000381469727
bel,2010,24.1299991607666
bel,2011,26.219999313354492
bel,2012,24.850000381469727
bel,2013,26.139999389648438
bra,1996,3.690000057220459
bra,1997,3.690000057220459
bra,1998,3.509999990463257
bra,1999,2.240000009536743
bra,2000,2.319999933242798
bra,2001,1.9299999475479126
bra,2002,1.649999976158142
bra,2003,1.7100000381469727
bra,2004,2.049999952316284
bra,2005,2.6600000858306885
bra,2006,3.200000047683716
bra,2007,3.809999942779541
bra,2008,4.510000228881836
bra,2009,4.360000133514404
